new entry "Projectile_ScorchingRay_Monk"
type "SpellData"
data "SpellType" "Projectile"
using "Projectile_ScorchingRay"
data "Level" ""
data "SpellProperties" "GROUND:SurfaceChange(Ignite);GROUND:SurfaceChange(Melt);ApplyStatus(SELF,MARTIAL_ARTS_BONUS_UNARMED_STRIKE,100,1)"
data "AmountOfTargets" "LevelMapValue(ScorchingRay_Monk)"
data "Trajectories" "a4512cd1-aa87-4cda-afca-fd354868d6ee"
data "DisplayName" "h42338406g6454g464fg8c44ge15979840d35;2"
data "Description" "h36263941g8082g484cgb72eg0d722cf34617;6"
data "DescriptionParams" "LevelMapValue(ScorchingRay_Monk);DealDamage(2d6,Fire)"
data "TooltipDamageList" "DealDamage(2d6,Fire)"
data "PrepareSound" "Vocal_Component_Monk_Damage"
data "CastSound" "Spell_Cast_Monk_EmbraceoftheInferno_L1to3"
data "VocalComponentSound" "Vocal_Component_Stop"
data "UseCosts" "ActionPoint:1;KiPoint:3"
data "SpellAnimation" "ba181bb4-331a-4e69-92af-d09bde86d835,,;,,;8a8b04d4-101f-48bb-a7d2-5b3c613c76b0,,;82f88eb6-b71d-44da-9da9-48349e82ba63,,;a1c2c833-b2c8-465f-a902-b6ae38f6553d,,;,,;74dead2e-d842-4d29-976a-d1cb373f7f0e,,;,,;,,"
data "SpellStyleGroup" "Class"
data "SpellFlags" "HasHighGroundRangeExtension;HasSomaticComponent;RangeIgnoreVerticalThreshold;IsHarmful"
data "MemoryCost" ""
data "PrepareEffect" "836ddd4d-dd0d-42a2-876b-dc1034056903"
data "CastEffect" "04ced9a3-6eaa-49ad-9c99-cafaef061ed3"
data "ContainerSpells" ""
