new entry "Shout_WitchBolt_Activate"
type "SpellData"
data "SpellType" "Shout"
data "SpellProperties" "SetStatusDuration(SELF,WITCH_BOLT_OWNER,2); IF(Transmuted('Acid')):DealDamage(1d12,Acid); IF(Transmuted('Cold')):DealDamage(1d12,Cold); IF(Transmuted('Fire')):DealDamage(1d12,Fire); IF(Transmuted('Poison')):DealDamage(1d12,Poison); IF(Transmuted('Lightning', true)):DealDamage(1d12,Lightning); IF(Transmuted('Thunder')):DealDamage(1d12,Thunder)"
data "AreaRadius" "18"
data "TargetConditions" "HasStatus('WITCH_BOLT',context.Target,context.Source) and not Self()"
data "Icon" "Spell_Evocation_ActivateWitchBolt"
data "DisplayName" "Shared_Shout_WitchBolt_Activate_DisplayName"
data "Description" "Shared_Shout_WitchBolt_Activate_Description"
data "TooltipDamageList" "DealDamage(1d12,Lightning)"
data "TooltipPermanentWarnings" "e6d7cd96-2c90-49ed-ae41-780d21395d15"
data "PrepareSound" "Spell_Prepare_Damage_Lightning_Gen_L1to3"
data "PrepareLoopSound" "Spell_Prepare_Damage_Lightning_Gen_L1to3_Loop"
data "CastSound" "Spell_Cast_Damage_Lightning_ActivateWitchBolt_L1to3"
data "TargetSound" "Spell_Impact_Damage_Lightning_ActivateWitchBolt_L1to3"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;7abe77ed-9c77-4eac-872c-5b8caed070b6,,;cb171bda-f065-4520-b470-e447f678ba1f,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "VerbalIntent" "Damage"
data "SpellFlags" "HasHighGroundRangeExtension;IsHarmful;RangeIgnoreVerticalThreshold;Temporary;IsSpell"
data "HitAnimationType" "MagicalDamage_Electric"
data "MemoryCost" "1"
data "PrepareEffect" "77241e8c-ae8d-4402-92d8-a871ce64d86f"
data "CastEffect" "d3a05455-419f-4699-82c9-2320edc5b5fc"
data "TargetEffect" "371c77a2-456d-45c2-8504-864a3e10a364"
data "SpellEffect" "ef3b238c-12f6-47fb-a08a-af42b063aa96"
data "DamageType" "Lightning"
